Brand_c,Price,Kilometers,Seats,Doors,Brand_Model_code,Car_Age,Country_c,Gearbox_c,Fuel_c,Seller_c,Type_c,Drivetrain_c,Upholstery_c,Color_c,Body_Type_c
24,72298.0,45226.0,5.0,4.0,24.636,3,2,0,4,0,0,1,1,0,8
24,164990.0,13000.0,2.0,2.0,24.999,2,6,0,0,0,0,2,4,3,6
24,69500.0,62500.0,2.0,2.0,24.999,61,6,1,0,0,0,2,0,3,4
24,139999.0,17500.0,2.0,2.0,24.999,9,6,0,0,0,0,2,0,10,6
24,75000.0,95800.0,2.0,2.0,24.999,68,6,1,0,0,5,2,1,2,6
24,76000.0,95000.0,2.0,2.0,24.999,63,6,1,0,0,0,1,0,5,6
24,89950.0,24503.0,7.0,4.0,24.721,2,0,0,1,0,0,1,1,2,0
24,110499.0,21.0,4.0,2.0,24.47,0,0,0,0,0,1,1,1,0,4
24,63535.0,4198.0,5.0,5.0,24.636,1,0,0,0,0,0,1,0,0,0
24,69900.0,23292.0,5.0,5.0,24.479,55,2,0,0,0,5,1,0,0,4
24,98000.0,2800.0,2.0,2.0,24.999,2,3,0,0,0,0,2,1,0,4
24,104900.0,0.0,4.0,2.0,24.47,0,0,0,0,0,1,2,4,0,6
24,62900.0,21600.0,2.0,2.0,24.999,62,0,1,0,0,0,1,1,5,6
24,235000.0,1.0,2.0,2.0,24.999,0,3,0,0,0,1,2,1,10,4
24,79990.0,63500.0,5.0,4.0,24.636,6,0,0,1,0,0,1,1,2,0
24,99900.0,12.0,5.0,2.0,24.47,0,0,0,0,0,1,1,1,3,4
24,89950.0,50.0,8.0,5.0,24.721,0,0,0,4,0,1,1,1,0,0
24,91990.0,150.0,5.0,4.0,24.636,0,0,0,4,0,1,1,1,1,0
24,65499.0,10.0,4.0,2.0,24.47,0,0,0,0,0,1,1,1,1,4
29,68888.0,23.0,5.0,3.0,29.433,0,0,0,0,0,1,1,2,11,1
29,105999.0,0.0,6.0,4.0,29.507,0,0,0,0,0,1,1,1,0,0
29,71890.0,35.0,5.0,5.0,29.515,0,0,0,0,0,1,1,1,0,0
29,149890.0,60.0,5.0,5.0,29.515,0,0,0,0,0,1,1,1,0,0
29,149900.0,17000.0,5.0,4.0,29.515,2,1,0,0,0,0,1,0,0,0
29,96316.0,50.0,5.0,5.0,29.515,0,3,0,0,0,1,1,1,0,0
29,65000.0,41700.0,5.0,4.0,29.515,5,0,0,4,0,0,1,1,4,0
29,69888.0,25.0,5.0,2.0,29.521,0,0,0,0,0,1,1,2,0,4
29,79980.0,36.0,5.0,5.0,29.515,0,0,0,4,0,1,1,1,0,0
29,103980.0,10.0,5.0,2.0,29.521,0,0,0,0,0,1,1,1,6,4
29,100793.0,0.0,5.0,5.0,29.515,0,3,0,0,0,1,1,1,0,0
29,73950.0,50.0,7.0,5.0,29.507,0,0,0,4,0,1,1,1,1,0
29,118900.0,2893.0,5.0,4.0,29.515,3,1,0,0,0,0,1,1,1,0
29,69777.0,395.0,5.0,2.0,29.521,1,0,0,0,0,0,1,2,0,4
29,69490.0,24990.0,5.0,5.0,29.433,1,0,0,0,0,3,1,4,6,1
29,83980.0,22.0,7.0,5.0,29.507,0,0,0,4,0,1,1,1,0,0
29,82500.0,10.0,5.0,5.0,29.515,0,0,0,4,0,1,1,1,0,0
29,165900.0,50.0,5.0,4.0,29.515,0,0,0,0,0,1,1,1,0,0
29,96316.0,50.0,5.0,5.0,29.515,0,3,0,0,0,1,1,1,0,0
29,108990.0,4990.0,5.0,5.0,29.515,1,0,0,4,0,3,1,1,0,0
29,109800.0,9363.0,5.0,5.0,29.521,6,2,0,0,0,0,2,2,1,7
29,87604.0,0.0,5.0,5.0,29.515,0,3,0,0,0,1,1,1,8,0
29,299000.0,7100.0,2.0,2.0,29.999,8,0,2,0,0,0,1,4,2,4
29,83450.0,22.0,7.0,5.0,29.507,0,0,0,4,0,1,1,1,0,0
29,109850.0,50.0,5.0,4.0,29.433,0,0,0,0,0,1,1,4,0,4
29,83732.0,0.0,5.0,5.0,29.515,0,3,0,0,0,1,1,1,8,0
29,109750.0,29650.0,5.0,4.0,29.433,7,2,0,0,0,0,1,1,0,1
29,64980.0,79940.0,5.0,3.0,29.521,10,4,0,0,0,0,2,1,6,4
29,75900.0,0.0,5.0,4.0,29.507,0,0,0,4,0,1,1,1,0,0
29,102608.0,0.0,5.0,5.0,29.515,0,3,0,0,0,1,1,1,0,0
29,124800.0,1070.0,5.0,3.0,29.521,1,0,0,0,0,0,2,1,0,4
29,127900.0,42.0,6.0,4.0,29.507,0,0,0,0,0,1,1,1,1,0
29,68400.0,0.0,5.0,5.0,29.515,0,1,0,2,0,1,1,1,0,0
29,74900.0,0.0,5.0,5.0,29.507,0,1,0,0,0,1,1,3,1,0
29,139000.0,0.0,5.0,4.0,29.515,0,1,0,0,0,1,1,2,3,0
29,70000.0,128000.0,2.0,2.0,29.999,22,1,1,0,0,0,2,1,0,6
29,129547.0,100.0,5.0,4.0,29.515,0,0,0,0,0,1,1,1,0,0
29,123999.0,100.0,5.0,4.0,29.515,0,0,0,0,0,1,1,1,0,0
29,119800.0,350.0,5.0,5.0,29.515,0,0,0,1,0,1,1,1,0,0
29,100793.0,0.0,5.0,5.0,29.515,0,3,0,0,0,1,1,1,0,0
29,76999.0,49.0,6.0,4.0,29.507,0,0,0,0,0,1,1,1,11,0
29,88000.0,1.0,5.0,2.0,29.521,2,5,1,0,0,2,2,0,6,4
29,99800.0,2255.0,5.0,5.0,29.515,1,0,0,4,0,0,1,1,0,0
29,75325.0,30.0,5.0,4.0,29.515,0,1,0,0,0,1,1,1,0,0
29,63800.0,47072.0,5.0,5.0,29.515,5,0,0,4,0,0,1,1,0,0
29,74999.0,22500.0,5.0,4.0,29.515,3,0,0,0,0,3,1,1,2,0
29,73999.0,81000.0,5.0,4.0,29.515,5,0,0,4,0,0,1,1,0,0
29,69000.0,0.0,5.0,5.0,29.521,0,1,0,0,0,1,2,4,5,4
29,69000.0,0.0,5.0,5.0,29.521,0,1,0,0,0,1,2,2,1,4
29,76999.0,49.0,6.0,4.0,29.507,0,0,0,0,0,1,1,1,3,0
29,89500.0,1.0,7.0,5.0,29.507,2,5,0,0,0,0,1,0,1,0
29,135000.0,1.0,6.0,5.0,29.507,1,5,0,0,0,2,1,0,0,0
29,78900.0,49.0,5.0,4.0,29.515,1,0,0,4,0,0,1,1,0,0
29,68990.0,77941.0,5.0,4.0,29.515,6,4,0,0,0,0,1,1,0,0
29,96679.0,0.0,5.0,5.0,29.515,0,3,0,0,0,1,1,0,0,0
29,69990.0,9800.0,7.0,4.0,29.507,1,0,0,4,0,0,1,1,0,0
